Cluster,HLA,Correlation
1of6,HLA_C0702,0.36
1of6,HLA_A0205,0.36
6of6,HLA_C0702,0.36
3of6,HLA_B3701,0.36
1of6,HLA_A0206,0.36
5of6,HLA_B4002,0.35
4of6,HLA_B4403,0.35
4of6,HLA_B1803,0.35
3of6,HLA_B1803,0.35
6of6,HLA_B1517,0.35
4of6,HLA_B3906,0.35
1of6,HLA_A0302,0.35
1of6,HLA_C1602,0.35
4of6,HLA_A3001,0.35
1of6,HLA_B5401,0.35
4of6,HLA_B8101,0.35
1of6,HLA_C0704,0.35
4of6,HLA_B7301,0.35
3of6,HLA_A0301,0.35
4of6,HLA_B1501,0.35
2of6,HLA_B3802,0.35
6of6,HLA_B0702,0.35
6of6,HLA_B5601,0.35
6of6,HLA_B5501,0.35
6of6,HLA_B5802,0.35
6of6,HLA_B6701,0.35
6of6,HLA_B5801,0.35
6of6,HLA_B3508,0.35
2of6,HLA_B1805,0.35
4of6,HLA_B3501,0.35
4of6,HLA_B4006,0.34
1of6,HLA_B6701,0.34
5of6,HLA_C0802,0.34
1of6,HLA_B1510,0.34
3of6,HLA_C0802,0.34
3of6,HLA_B5802,0.34
4of6,HLA_B1402,0.34
6of6,HLA_B4201,0.34
1of6,HLA_B4403,0.34
1of6,HLA_A0211,0.34
4of6,HLA_C1403,0.34
3of6,HLA_A6801,0.34
1of6,HLA_B0801,0.34
6of6,HLA_B1510,0.34
6of6,HLA_A3101,0.34
6of6,HLA_B1402,0.34
2of6,HLA_B3801,0.34
2of6,HLA_B1402,0.34
2of6,HLA_B1401,0.34
6of6,HLA_B5502,0.34
6of6,HLA_B1401,0.34
5of6,HLA_B8101,0.33
1of6,HLA_A3201,0.33
2of6,HLA_B1502,0.33
5of6,HLA_C1204,0.33
4of6,HLA_A0202,0.33
6of6,HLA_A3303,0.33
3of6,HLA_A0205,0.33
3of6,HLA_C0801,0.33
2of6,HLA_A6601,0.33
2of6,HLA_A2501,0.33
4of6,HLA_B1502,0.33
4of6,HLA_C1502,0.33
3of6,HLA_A7401,0.33
4of6,HLA_B5001,0.33
3of6,HLA_A2501,0.33
1of6,HLA_B1801,0.33
1of6,HLA_C0701,0.33
2of6,HLA_A3303,0.33
6of6,HLA_C0802,0.33
5of6,HLA_C0303,0.33
2of6,HLA_B1801,0.32
3of6,HLA_A2301,0.32
4of6,HLA_B4501,0.32
1of6,HLA_A0202,0.32
3of6,HLA_C1701,0.32
1of6,HLA_B3924,0.32
4of6,HLA_C0304,0.32
4of6,HLA_B4001,0.32
3of6,HLA_B3508,0.32
5of6,HLA_B3503,0.32
4of6,HLA_B4901,0.32
4of6,HLA_B1503,0.32
6of6,HLA_A0202,0.32
3of6,HLA_C1602,0.32
3of6,HLA_A3101,0.32
5of6,HLA_C0102,0.32
5of6,HLA_B3905,0.32
3of6,HLA_A2407,0.32
6of6,HLA_B4032,0.32
3of6,HLA_C0701,0.32
4of6,HLA_B3801,0.31
4of6,HLA_B0702,0.31
3of6,HLA_B4501,0.31
4of6,HLA_B1801,0.31
5of6,HLA_B1511,0.31
3of6,HLA_B3502,0.31
4of6,HLA_C0302,0.31
2of6,HLA_B1511,0.31
3of6,HLA_C1505,0.31
2of6,HLA_B6701,0.31
2of6,HLA_B4501,0.31
5of6,HLA_C0501,0.31
3of6,HLA_A3401,0.31
4of6,HLA_A6801,0.31
4of6,HLA_B3508,0.31
4of6,HLA_A0211,0.31
3of6,HLA_A3002,0.31
4of6,HLA_B1401,0.31
1of6,HLA_A3303,0.31
3of6,HLA_B5801,0.31
6of6,HLA_C0403,0.31
1of6,HLA_B5802,0.3
5of6,HLA_B0702,0.3
4of6,HLA_A3101,0.3
2of6,HLA_B1803,0.3
5of6,HLA_C0302,0.3
6of6,HLA_A3201,0.3
6of6,HLA_A1101,0.3
1of6,HLA_B5201,0.3
6of6,HLA_B3502,0.3
2of6,HLA_A3401,0.3
3of6,HLA_C0704,0.3
5of6,HLA_C1402,0.3
4of6,HLA_B4801,0.3
3of6,HLA_C0403,0.3
6of6,HLA_B4001,0.3
2of6,HLA_A3301,0.3
6of6,HLA_A0301,0.3
5of6,HLA_B3508,0.29
3of6,HLA_C0102,0.29
3of6,HLA_A2601,0.29
6of6,HLA_A3301,0.29
3of6,HLA_A0202,0.29
6of6,HLA_B4006,0.29
4of6,HLA_C1602,0.29
4of6,HLA_B1301,0.29
4of6,HLA_B3503,0.29
6of6,HLA_B0704,0.29
1of6,HLA_B4901,0.29
4of6,HLA_B6701,0.29
4of6,HLA_B1302,0.29
6of6,HLA_B7301,0.29
6of6,HLA_B5001,0.29
5of6,HLA_B1501,0.29
3of6,HLA_A1101,0.28
5of6,HLA_B5401,0.28
4of6,HLA_B4601,0.28
2of6,HLA_B3508,0.28
4of6,HLA_C0501,0.28
1of6,HLA_A2301,0.28
4of6,HLA_B5201,0.28
2of6,HLA_B7301,0.28
3of6,HLA_A6601,0.28
6of6,HLA_A0101,0.28
4of6,HLA_A2301,0.28
5of6,HLA_B1510,0.27
5of6,HLA_A0207,0.27
4of6,HLA_B5108,0.27
4of6,HLA_B4201,0.27
4of6,HLA_B5101,0.27
1of6,HLA_B1401,0.27
4of6,HLA_B5701,0.27
4of6,HLA_A2902,0.27
5of6,HLA_B6701,0.27
3of6,HLA_A3303,0.27
5of6,HLA_B1518,0.26
5of6,HLA_B4001,0.26
4of6,HLA_C1601,0.26
3of6,HLA_B1301,0.26
4of6,HLA_A3002,0.26
5of6,HLA_C0801,0.26
1of6,HLA_B5601,0.26
5of6,HLA_B4601,0.26
2of6,HLA_B3502,0.26
4of6,HLA_C0102,0.26
1of6,HLA_B0704,0.26
3of6,HLA_A3201,0.26
5of6,HLA_B3901,0.26
4of6,HLA_A0301,0.26
1of6,HLA_A3301,0.25
1of6,HLA_B7301,0.25
4of6,HLA_B3502,0.25
5of6,HLA_C1202,0.25
6of6,HLA_A7401,0.25
3of6,HLA_A2608,0.25
1of6,HLA_B5501,0.25
6of6,HLA_A1102,0.25
4of6,HLA_B3802,0.24
4of6,HLA_B5601,0.24
4of6,HLA_B5401,0.24
5of6,HLA_B4405,0.24
5of6,HLA_C0403,0.24
4of6,HLA_C0802,0.24
5of6,HLA_B2709,0.24
4of6,HLA_C0401,0.24
5of6,HLA_C1403,0.24
4of6,HLA_A7401,0.24
3of6,HLA_A0101,0.24
4of6,HLA_B0704,0.24
5of6,HLA_A6801,0.24
5of6,HLA_B4801,0.24
2of6,HLA_B4101,0.24
4of6,HLA_C0801,0.23
4of6,HLA_A3201,0.23
5of6,HLA_B5108,0.23
4of6,HLA_C0202,0.23
4of6,HLA_C0303,0.23
6of6,HLA_B1301,0.23
1of6,HLA_B4501,0.23
4of6,HLA_A3303,0.22
4of6,HLA_A3401,0.22
4of6,HLA_B5703,0.22
4of6,HLA_B1510,0.22
5of6,HLA_B5501,0.22
4of6,HLA_A1101,0.22
4of6,HLA_B5501,0.22
1of6,HLA_B3906,0.22
5of6,HLA_C0401,0.22
5of6,HLA_A0252,0.22
4of6,HLA_A0101,0.22
1of6,HLA_B5502,0.22
5of6,HLA_B5601,0.22
3of6,HLA_B4101,0.22
5of6,HLA_B5101,0.22
5of6,HLA_C1601,0.22
5of6,HLA_B1513,0.21
6of6,HLA_A0302,0.21
1of6,HLA_B1803,0.21
3of6,HLA_A0302,0.21
4of6,HLA_A3301,0.21
1of6,HLA_B1402,0.21
3of6,HLA_A3301,0.21
5of6,HLA_A2902,0.21
5of6,HLA_B4032,0.21
4of6,HLA_B5502,0.21
1of6,HLA_B5001,0.2
5of6,HLA_B3924,0.2
5of6,HLA_A0203,0.2
4of6,HLA_C1202,0.2
5of6,HLA_A0302,0.2
5of6,HLA_A6601,0.2
5of6,HLA_B3801,0.2
5of6,HLA_B4701,0.2
4of6,HLA_B4101,0.2
4of6,HLA_B3507,0.2
5of6,HLA_B2704,0.2
6of6,HLA_B3701,0.2
6of6,HLA_B4501,0.2
3of6,HLA_A1102,0.2
5of6,HLA_B1805,0.19
4of6,HLA_C1505,0.19
5of6,HLA_B4201,0.19
4of6,HLA_C1204,0.19
1of6,HLA_B4801,0.19
4of6,HLA_A6601,0.19
5of6,HLA_A0204,0.19
5of6,HLA_A0101,0.19
5of6,HLA_B1503,0.19
5of6,HLA_B3507,0.18
5of6,HLA_A0201,0.18
5of6,HLA_A3401,0.18
5of6,HLA_B5502,0.18
5of6,HLA_A3001,0.18
4of6,HLA_C1701,0.18
5of6,HLA_B3906,0.18
4of6,HLA_A1102,0.17
5of6,HLA_B4501,0.17
5of6,HLA_A2402,0.17
1of6,HLA_B3701,0.17
5of6,HLA_A6802,0.17
1of6,HLA_B4101,0.17
4of6,HLA_A2407,0.17
4of6,HLA_C1203,0.17
4of6,HLA_A0302,0.17
1of6,HLA_B4032,0.17
5of6,HLA_B1502,0.16
5of6,HLA_C1502,0.16
5of6,HLA_A1101,0.16
5of6,HLA_B1302,0.16
4of6,HLA_B3701,0.15
5of6,HLA_B3502,0.15
4of6,HLA_B5801,0.15
4of6,HLA_C0701,0.15
5of6,HLA_B7301,0.15
4of6,HLA_B5301,0.14
5of6,HLA_A6901,0.14
6of6,HLA_A3601,0.14
5of6,HLA_B4403,0.14
4of6,HLA_C0704,0.14
5of6,HLA_B3802,0.14
5of6,HLA_B5001,0.14
5of6,HLA_C1701,0.14
4of6,HLA_B1517,0.14
4of6,HLA_B5802,0.14
5of6,HLA_B4402,0.14
5of6,HLA_C0602,0.13
5of6,HLA_B4901,0.13
5of6,HLA_B3701,0.13
1of6,HLA_B4006,0.13
5of6,HLA_C0702,0.13
4of6,HLA_C0702,0.13
5of6,HLA_B2705,0.13
5of6,HLA_C0704,0.12
5of6,HLA_B4101,0.12
5of6,HLA_A0301,0.12
4of6,HLA_A3601,0.11
5of6,HLA_C0202,0.11
5of6,HLA_B0801,0.11
5of6,HLA_A1102,0.11
5of6,HLA_A3101,0.11
5of6,HLA_B5301,0.11
5of6,HLA_A2407,0.1
5of6,HLA_B4006,0.1
5of6,HLA_C1602,0.1
5of6,HLA_B1301,0.1
5of6,HLA_A7401,0.09
5of6,HLA_B1402,0.09
5of6,HLA_B0704,0.09
5of6,HLA_B1801,0.09
5of6,HLA_A0206,0.09
5of6,HLA_B5201,0.08
5of6,HLA_A2501,0.08
4of6,HLA_C0403,0.07
5of6,HLA_B1803,0.07
5of6,HLA_B5801,0.07
5of6,HLA_B1401,0.06
5of6,HLA_B5703,0.06
5of6,HLA_B1517,0.05
5of6,HLA_A0211,0.05
3of6,HLA_A3601,0.05
6of6,HLA_B4101,0.05
5of6,HLA_A0205,0.04
5of6,HLA_C1203,0.03
5of6,HLA_C1505,0.03
5of6,HLA_A3601,0.01
5of6,HLA_B5701,0.01
5of6,HLA_A2608,0.01
5of6,HLA_C0701,0.0
5of6,HLA_A3303,-0.02
5of6,HLA_A2301,-0.02
5of6,HLA_A2601,-0.03
5of6,HLA_A0202,-0.03
5of6,HLA_A3002,-0.04
5of6,HLA_A3201,-0.07
5of6,HLA_B5802,-0.1
5of6,HLA_A3301,-0.11
