Cluster,HLA,Correlation
3of5,HLA_B2705,-0.05
3of5,HLA_B4032,-0.05
3of5,HLA_C1202,-0.05
3of5,HLA_B1510,-0.05
3of5,HLA_B3503,-0.05
3of5,HLA_B3701,-0.06
3of5,HLA_A0203,-0.06
3of5,HLA_A0301,-0.06
2of5,HLA_B4101,-0.06
3of5,HLA_B1805,-0.06
3of5,HLA_A3101,-0.06
3of5,HLA_B4801,-0.06
3of5,HLA_B3502,-0.06
3of5,HLA_C0304,-0.07
3of5,HLA_B3901,-0.07
3of5,HLA_C1203,-0.07
3of5,HLA_A6802,-0.07
3of5,HLA_A3401,-0.07
3of5,HLA_B4006,-0.08
3of5,HLA_B2709,-0.08
3of5,HLA_B5802,-0.08
3of5,HLA_A6601,-0.08
3of5,HLA_B4405,-0.08
3of5,HLA_A3301,-0.08
3of5,HLA_A2902,-0.08
2of5,HLA_B0704,-0.09
3of5,HLA_B1401,-0.09
3of5,HLA_B4402,-0.09
3of5,HLA_A0201,-0.09
3of5,HLA_B1503,-0.09
3of5,HLA_B4601,-0.09
3of5,HLA_B4001,-0.09
3of5,HLA_C0704,-0.09
3of5,HLA_C0303,-0.09
3of5,HLA_B3501,-0.09
3of5,HLA_A1101,-0.1
3of5,HLA_C1601,-0.1
3of5,HLA_A0302,-0.1
3of5,HLA_B6701,-0.1
3of5,HLA_B1511,-0.1
3of5,HLA_C1701,-0.1
3of5,HLA_A3601,-0.1
3of5,HLA_A0211,-0.1
3of5,HLA_A7401,-0.1
3of5,HLA_B5301,-0.11
3of5,HLA_A0204,-0.11
3of5,HLA_B4403,-0.11
3of5,HLA_B1302,-0.11
3of5,HLA_A2501,-0.11
3of5,HLA_A2601,-0.11
3of5,HLA_C0701,-0.11
3of5,HLA_B0801,-0.12
3of5,HLA_B1513,-0.12
3of5,HLA_C1502,-0.12
3of5,HLA_A0252,-0.12
3of5,HLA_B4501,-0.12
3of5,HLA_B1801,-0.12
3of5,HLA_B5701,-0.12
3of5,HLA_C0202,-0.12
3of5,HLA_B3507,-0.13
3of5,HLA_B3802,-0.13
3of5,HLA_A2608,-0.13
3of5,HLA_B5703,-0.13
3of5,HLA_C0302,-0.13
3of5,HLA_A0206,-0.14
3of5,HLA_C0801,-0.14
3of5,HLA_A1102,-0.14
3of5,HLA_A6901,-0.14
3of5,HLA_B1402,-0.14
3of5,HLA_A0202,-0.15
3of5,HLA_B3801,-0.15
3of5,HLA_B1501,-0.16
3of5,HLA_A0205,-0.17
3of5,HLA_B1502,-0.17
3of5,HLA_B1517,-0.18
3of5,HLA_B1301,-0.19
3of5,HLA_B5801,-0.21
3of5,HLA_A3201,-0.23
